Navajo,date,storage(MCM),inflow(m3/s),release(m3/s)
130,11-May-1990,1513.779993,52.30072207277361,14.27155599603568
131,12-May-1990,1515.408786,41.88022086931899,14.27155599603568
132,13-May-1990,1517.442003,47.06215489168909,14.27155599603568
133,14-May-1990,1520.01774,54.112983151635284,14.27155599603568
134,15-May-1990,1522.507167,54.79258105620841,14.27155599603568
135,16-May-1990,1524.876993,52.895370239275096,14.27155599603568
136,17-May-1990,1527.687,56.8313747699278,14.27155599603568
137,18-May-1990,1529.905167,51.394591533342776,14.27155599603568
138,19-May-1990,1532.716407,58.27552031714569,14.27155599603568
139,20-May-1990,1535.822334,60.31431403086508,14.27155599603568
140,21-May-1990,1538.929494,64.87328330737647,14.27155599603568
141,22-May-1990,1543.076073,75.9167492566898,14.27155599603568
142,23-May-1990,1548.551826,88.48931049129266,14.27155599603568
143,24-May-1990,1555.502247,104.88460993911936,14.27155599603568
144,25-May-1990,1561.123494,90.8679031572986,14.27155599603568
145,26-May-1990,1566.159066,84.15687384963897,14.27155599603568
146,27-May-1990,1571.042979,82.40124592949172,14.27155599603568
147,28-May-1990,1575.919494,82.34461277077729,14.27155599603568
148,29-May-1990,1581.555537,94.54905847373638,14.27155599603568
149,30-May-1990,1585.726776,75.03893529661617,14.27155599603568
150,31-May-1990,1589.092866,66.28911227523716,14.27155599603568
151,01-Jun-1990,1591.49475,57.8790882061447,14.27155599603568
152,02-Jun-1990,1593.897867,58.02067110293077,14.27155599603568
153,03-Jun-1990,1597.128327,67.61999150502619,14.27155599603568
154,04-Jun-1990,1601.71632,83.33569304827978,14.27155599603568
155,05-Jun-1990,1607.783913,101.74146963046864,14.27155599603568
156,06-Jun-1990,1614.294153,107.0649865496248,14.27155599603568
157,07-Jun-1990,1621.988073,120.79852753787343,14.27155599603568
158,08-Jun-1990,1627.019946,91.32096842701402,14.27155599603568
159,09-Jun-1990,1632.78792,101.28840436075323,14.27155599603568
160,10-Jun-1990,1641.123,128.6139034404644,14.27155599603568
161,11-Jun-1990,1652.026419,157.58176412289396,14.27155599603568
162,12-Jun-1990,1662.924906,154.4952569729577,14.27155599603568
163,13-Jun-1990,1668.842073,100.83533909103781,14.27155599603568
164,14-Jun-1990,1674.836919,102.61928359054227,14.27155599603568
165,15-Jun-1990,1678.522356,75.94506583604701,14.27155599603568
166,16-Jun-1990,1679.9625,49.950445986124876,14.27155599603568
167,17-Jun-1990,1682.209026,59.294917174005384,14.27155599603568
168,18-Jun-1990,1683.171999,43.09783378167918,14.27155599603568
169,19-Jun-1990,1684.612143,49.61064703383832,14.27155599603568
170,20-Jun-1990,1685.895696,33.86662891122753,14.27155599603568
171,21-Jun-1990,1686.536856,26.447685119637548,14.27155599603568
172,22-Jun-1990,1687.499829,41.65368823446128,14.27155599603568
173,23-Jun-1990,1687.820409,36.55670395016282,14.27155599603568
174,24-Jun-1990,1688.298813,38.82203029873992,14.27155599603568
175,25-Jun-1990,1688.455404,35.11255840294493,14.27155599603568
176,26-Jun-1990,1688.298813,31.48803624522158,14.27155599603568
177,27-Jun-1990,1687.820409,29.845674642503187,14.27155599603568
178,28-Jun-1990,1687.33584,29.760724904431548,14.27155599603568
179,29-Jun-1990,1686.372867,26.334418802208695,14.27155599603568
180,30-Jun-1990,1685.253303,24.60710746141866,14.27155599603568
181,01-Jul-1990,1684.448154,28.23162961914201,14.27155599603568
182,02-Jul-1990,1683.00801,18.264193685402805,14.27155599603568
183,03-Jul-1990,1683.00801,33.24366416536883,14.27155599603568
184,04-Jul-1990,1682.045037,19.48180659776299,14.27155599603568
185,05-Jul-1990,1683.64917,50.26192835905423,14.27155599603568
186,06-Jul-1990,1685.895696,54.509415262636274,14.27155599603568
187,07-Jul-1990,1688.298813,55.52881211949597,14.27155599603568
