grandid,damname,lon,lat,upreal,ix,iy,fldsto_mcm,consto_mcm,totalsto_mcm,fldsto/uparea,Qn,Qf
2487,MarechalDutra,-36.6029167,-6.4212499,2121.0,574,387,12.669488341856225,27.330511658143767,40.0,0.005973356125344754,0.72570986,140.99384765624995
4743,Madhuban,73.0612488,20.1954174,1846.0,1013,280,227.2195481719736,339.7804518280265,567.0,0.12308751255253172,62.32999,2204.952978515625
4888,BhimgarhReservoir,79.6504135,22.3787498,2003.0,1038,271,174.4750352860035,332.5249647139965,507.0,0.0871068573569663,28.334906,976.5574951171876
5222,Wenyuhe,112.0170822,37.5162506,1863.0,1168,210,47.77765215851226,62.22234784148774,110.0,0.02564554597880422,6.138135,929.8595214843747
2789,Sichar,-0.232917,40.0120811,2502.0,718,200,20.311646759310104,28.988353240689893,49.3,0.008118164172386132,0.50141466,151.73919067382812
1763,SouthHolstonLake,-82.0870819,36.5245819,1817.0,392,215,484.5922063675306,457.8077936324693,942.4,0.2666990678962745,33.210026,403.9422729492188
3993,Globocica,20.6362495,41.3362503,1703.0,801,196,15.686821910128751,42.31317808987125,58.0,0.009211287087568264,27.221043,378.12857666015617
5436,Hualiangting,116.2470856,30.4695835,1863.0,1185,238,1231.3017872467176,1176.6982127532824,2408.0,0.6609242014206751,43.2872,1355.31416015625
646,RailroadCanyon,-117.27458190000002,33.678749100000005,1855.0,251,228,1.5874894775301132,12.712510522469888,14.3,0.0008557894757574734,0.94514644,126.68649902343748
1016,TrinidadLake,-104.5537491,37.1437492,1733.0,303,214,164.31036308364656,39.089636916353435,203.4,0.09481267344699744,0.5242469,72.3871353149414
5428,Bailianhe,115.4504166,30.5870838,1752.0,1183,238,474.51554871900976,775.48445128099,1250.0,0.27084220817295085,32.00728,1037.3028076171877
1449,PeavyPond,-88.2079163,45.99124910000001,1803.0,368,176,16.73871376788295,25.46128623211705,42.2,0.009283812405925095,17.158442,93.58477478027343
4430,Dicle,40.1754189,38.2329178,3621.0,880,207,73.93411777764607,521.0658822223539,595.0,0.02041814906866779,14.777035,189.05866699218743
1971,Gatun,-79.92874909999998,9.2620831,3345.0,401,323,26.53805161226921,517.4619483877308,544.0,0.00793364771667241,94.44514,895.9330810546875
2779,GabrielY.Galan,-6.1329169000000014,40.224582700000006,1861.0,696,199,514.484736751772,409.71526324822815,924.2,0.27645606488542285,12.216699,334.03095703125
