3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
210,Don_Pedro,-120.425,37.708,3860.2,239,209,569.476136377109,1934.523863622891,2504.0,13.726977,396.9551696777344
214,Exchequer_Main,-120.275,37.592,2550.7,240,210,714.5400000000001,765.66,1480.2,7.664444,535.9998168945312
218,McSwain,-120.308,37.525,2894.4,239,210,7.030000000000001,5.27,12.3,7.6635156,343.8272705078125
228,Los_Banos_Creek_Detention_Dam,-120.925,36.992,656.2,236,213,8.459999999999997,23.94,32.4,9.993186e-06,0.00020978077373001724
229,Hernandez,-120.842,36.392,405.5,237,215,10.05,12.149999999999999,22.2,1.7441724e-06,0.0007418707828037441
230,San_Antonio,-120.892,35.808,869.0,236,217,79.40999999999997,352.29,431.7,9.85538e-06,0.00014222628669813275
231,Nacimiento,-120.892,35.758,962.3,237,218,122.60572003880162,309.09427996119837,431.7,1.2046863e-06,1.1385875041014515e-05
235,Snare_Rapids,-116.008,63.458,13707.4,257,107,21.98208103194034,249.41791896805964,271.4,55.533264,1157.034912109375
236,Hutch_Lake,-117.375,58.775,426.5,251,126,4.443455488417431,15.556544511582569,20.0,1.0990002,18.7978572845459
237,Syncrude_Tailings,-111.275,57.492,403.4,276,131,147.98000000000002,352.02,500.0,1.094847,13.114484786987305
244,Paddle_River_Dam,-115.058,53.892,680.5,260,145,30.84,12.16,43.0,2.6777902,175.47564697265625
245,Brazeau_Dam,-115.575,52.975,5597.6,258,149,38.97498806698695,451.02501193301305,490.0,30.843748,232.501953125
247,40_Mile,-117.808,52.875,894.4,249,149,65.0,38.0,103.0,6.4741964,37.61648941040039
248,Battle_River,-112.708,52.792,7003.9,270,149,1.1799999999999995,16.72,17.9,11.486611,370.1319580078125
249,Big_Horn,-116.325,52.308,3723.6,255,152,318.5899999999999,1451.41,1770.0,31.271107,169.07925415039062
250,Mica,-118.575,52.092,21138.5,247,152,2429.378261909944,22570.621738090056,25000.0,348.768,1344.1397705078125
251,Dickson_Dam,-114.208,52.058,4505.2,262,153,25.48138104533589,177.5186189546641,203.0,20.470558,138.1808319091797
253,Gardiner,-106.858,51.275,131534.5,293,155,531.0443003808832,9338.955699619117,9870.0,306.239,1294.6368408203125
254,Berry_Creek,-111.642,51.258,2106.1,274,155,5.541010670098611,12.958989329901389,18.5,1.193643,32.691898345947266
255,Cascade_Lake_Minnewanka,-115.492,51.242,485.8,258,155,48.98000000000002,338.32,387.3,2.4429848,29.348302841186523
256,Ghost,-114.708,51.225,6570.2,261,156,12.22044887827333,119.77955112172667,132.0,37.60582,331.0582275390625
257,Revelstoke,-118.192,51.058,26805.8,248,156,276.87136353316055,4903.128636466839,5180.0,489.54715,1897.7701416015625
258,Barrier,-115.042,51.025,863.5,260,157,2.509999999999998,20.69,23.2,4.0561237,72.44366455078125
259,Glenmore,-114.108,50.992,1027.8,262,157,1.2200000000000024,18.38,19.6,4.9619184,65.57549285888672
260,Spray_Canyon,-115.375,50.892,555.8,259,157,69.1916842416669,352.7083157583331,421.9,2.6117563,50.210533142089844
261,Crawling_Valley,-112.375,50.858,883.3,270,156,16.65748661279757,112.34251338720243,129.0,0.3966066,25.308149337768555
263,Upper_Kananaskis,-115.125,50.692,462.3,260,158,77.94000000000001,82.46,160.4,2.1712928,41.75629425048828
265,Sugar_Lake,-118.542,50.358,637.2,247,158,8.75,152.25,161.0,7.200074,86.78756713867188
266,Highfield,-107.392,50.308,396.2,290,160,2.027096135051464,12.872903864948537,14.9,0.5858942,15.272937774658203
267,Mcgregor_Lake_North_Dam,-112.825,50.275,1307.7,269,159,10.860000000000014,315.24,326.1,0.91120315,10.338143348693848
268,Duncan,-116.942,50.258,2435.3,253,159,307.1300000000001,1422.87,1730.0,35.04811,215.0081787109375
270,Travers,-112.725,50.175,5430.6,269,160,34.59661342570155,282.40338657429845,317.0,6.942089,110.0248794555664
271,Duncairn,-108.042,50.075,2658.5,288,160,17.34494679611835,87.85505320388165,105.2,3.720673,62.61892318725586
272,Junction,-109.525,49.975,1471.0,283,161,4.174492178937069,8.725507821062932,12.9,1.7760313,87.1878662109375
275,Murray,-110.942,49.825,1383.7,276,161,8.191788322311105,22.608211677688896,30.8,1.1968163,24.46339988708496
276,La_Fleche,-106.592,49.792,5500.3,294,162,5.80596428052726,31.394035719472743,37.2,6.3300276,168.6046142578125
278,Oldman_River_Dam,-113.892,49.558,4230.8,264,163,116.2593782516517,373.7406217483483,490.0,32.651558,375.7213134765625
279,Corra-Linn,-117.458,49.475,45981.8,252,162,32.010118423475205,977.9898815765248,1010.0,326.51843,1648.4365234375
280,North_Ridge,-112.592,49.375,339.2,270,163,24.87614557658196,103.42385442341805,128.3,0.24132234,9.196784973144531
281,St._Mary,-113.125,49.358,2258.0,267,164,99.72532070413804,294.97467929586196,394.7,16.716444,230.04331970214844
282,Hugh_Keenleyside,-117.775,49.342,36936.3,249,163,0.0,11300.0,11300.0,656.7921,1486.0794677734375
283,Brilliant,-117.625,49.325,49882.6,251,163,7.109999999999999,35.69,42.8,377.03436,2241.310546875
284,Waterton,-113.675,49.325,948.5,265,164,37.94,134.76,172.7,6.3250003,111.40375518798828
285,Pothole,-112.892,49.325,626.9,269,163,6.41,15.89,22.3,0.5804934,17.67266273498535
286,Val_Marie,-107.808,49.308,2992.7,288,163,7.23,5.07,12.3,3.8714828,57.76865005493164
287,Seven_Mile,-117.508,49.025,66909.0,251,164,12.930000000000009,91.07,104.0,306.0635,1768.5810546875
288,Morrison,-105.425,49.025,1419.9,299,164,10.240347326909443,29.259652673090557,39.5,1.8515339,99.13908386230469
290,Boundary,-117.342,48.992,65503.9,251,165,62.8,54.400000000000006,117.2,291.8817,1469.4375
291,Osoyoos_Lake_Control_Dam,-119.425,48.958,8004.7,242,164,1.4901705992256211,66.30982940077438,67.8,28.83225,100.30937957763672
293,Fresno,-109.942,48.592,9692.0,280,166,22.097681095128763,104.80231890487124,126.9,13.00673,55.790348052978516
294,Conconully,-119.608,48.892,347.8,241,165,4.109999999999999,13.29,17.4,0.65960634,10.240859031677246
297,Libby,-115.308,48.408,22925.6,259,166,572.2799999999997,6861.92,7434.2,129.87964,1008.3088989257812
